Timestamp,Location,Signal Strength (dBm),Download Speed (Mbps),Upload Speed (Mbps),Latency (ms),Jitter (ms),Network Type,Device Model,Carrier,Band,Battery Level (%),Temperature (°C),Connected Duration (min),Handover Count,Data Usage (MB),Video Streaming Quality,VoNR Enabled,Network Congestion Level,Ping to Google (ms),Dropped Connection
2025-05-28 06:59:51.089339,San Francisco,-108.6,714.94,60.41,10.0,4.09,5G NSA,iPhone 14,AT&T,n78,99,35.5,14,1,97.4,4,False,High,27.9,True
2025-05-28 06:49:51.089353,San Francisco,-71.5,686.69,148.7,12.3,1.5,4G,Pixel 7,AT&T,n260,67,22.0,51,4,143.23,3,True,Medium,22.2,False
2025-05-28 06:39:51.089356,Chennai,-67.5,796.34,136.33,19.9,1.22,5G NSA,iPhone 14,Airtel,n78,77,36.1,45,2,179.15,5,False,Low,75.5,False
2025-05-28 06:29:51.089360,New York,-73.3,208.56,68.59,12.2,4.94,4G,Pixel 7,T-Mobile,n41,25,39.3,48,0,128.87,4,False,High,87.5,False
2025-05-28 06:19:51.089363,Kolkata,-93.2,409.85,137.23,6.3,2.94,5G NSA,Galaxy S23,BSNL,n28,51,22.7,54,4,156.91,1,True,Medium,32.5,True
2025-05-28 06:09:51.089365,Mumbai,-101.2,727.46,115.13,15.4,2.73,5G NSA,GT 7,Vi,n78,24,34.0,5,3,35.72,4,False,Low,44.5,False
2025-05-28 05:59:51.089368,Chennai,-89.4,623.27,79.46,2.8,3.69,5G SA,Nord 4,Vi,n258,17,31.4,59,2,96.21,5,False,High,54.7,False
2025-05-28 05:49:51.089374,Tokyo,-65.9,828.31,23.78,8.7,0.27,4G,iPhone 14,AT&T,n41,18,35.6,32,2,338.17,1,False,High,78.9,True
2025-05-28 05:39:51.089378,Berlin,-90.7,630.53,92.39,15.9,0.56,5G SA,Galaxy S23,AT&T,n260,71,37.7,45,4,313.44,4,True,Medium,85.1,True
2025-05-28 05:29:51.089381,Chennai,-108.4,311.66,77.99,3.7,3.67,4G,Galaxy S23,Airtel,n78,20,35.9,34,2,27.32,5,True,Low,75.4,False
2025-05-28 05:19:51.089384,Tokyo,-99.8,484.88,23.19,16.6,1.01,4G,iPhone 14,AT&T,n260,92,26.9,4,0,226.71,5,True,Low,74.5,False
2025-05-28 05:09:51.089386,Mumbai,-94.8,109.06,34.91,14.9,3.0,5G SA,iPhone 14,Vi,n78,29,21.9,14,3,358.12,2,True,Medium,41.3,True
2025-05-28 04:59:51.089389,Delhi,-101.0,906.47,104.85,4.3,4.63,4G,Galaxy S23,Vi,n28,99,29.3,27,2,421.63,4,True,High,29.1,False
2025-05-28 04:49:51.089392,San Francisco,-65.5,841.24,75.46,14.5,1.2,5G NSA,Nord 4,AT&T,n260,48,25.4,52,2,318.15,4,True,Low,38.2,False
2025-05-28 04:39:51.089394,Delhi,-104.1,246.71,47.64,17.2,0.8,4G,GT 7,Jio,n78,38,37.6,14,3,85.4,4,True,Medium,67.8,True
2025-05-28 04:29:51.089396,New York,-96.5,827.98,63.61,18.8,4.73,4G,Pixel 7,T-Mobile,n78,37,37.7,48,1,249.58,1,True,Low,18.6,False
2025-05-28 04:19:51.089398,Delhi,-103.4,976.21,40.41,9.3,3.75,4G,Pixel 7,Jio,n28,33,37.4,5,3,452.44,4,True,Medium,59.1,True
2025-05-28 04:09:51.089401,Tokyo,-90.3,758.64,28.61,18.0,0.75,5G NSA,GT 7,T-Mobile,n78,43,40.0,47,2,210.65,2,True,High,18.9,True
2025-05-28 03:59:51.089404,Chennai,-88.6,956.15,77.02,15.9,3.25,5G SA,iPhone 14,Jio,n78,38,22.4,29,0,114.2,5,True,High,36.9,True
2025-05-28 03:49:51.089407,Berlin,-67.0,706.0,82.72,5.6,2.96,5G NSA,iPhone 14,T-Mobile,n41,84,42.3,2,3,149.95,4,True,Low,88.5,False
2025-05-28 03:39:51.089410,Tokyo,-88.0,273.55,97.75,7.5,0.74,5G SA,iPhone 14,Verizon,n41,27,27.0,12,1,211.49,2,False,High,72.5,False
2025-05-28 03:29:51.089412,Berlin,-107.7,693.97,57.48,7.1,2.99,4G,Galaxy S23,T-Mobile,n41,41,36.9,47,4,346.63,2,False,Low,78.8,False
2025-05-28 03:19:51.089415,Tokyo,-109.2,330.51,30.86,7.2,1.9,5G SA,Nord 4,Verizon,n78,70,44.4,10,3,223.26,4,False,Medium,90.6,False
2025-05-28 03:09:51.089417,San Francisco,-109.5,201.88,73.9,16.5,4.74,5G SA,Galaxy S23,T-Mobile,n41,70,22.2,55,2,88.87,4,False,High,85.9,True
